user_id,variant,order_value,order_value_pre
u_00930,control,71.83,65.91
u_00931,control,7.49,25.15
u_00932,control,23.02,15.28
u_00933,control,81.84,72.29
u_00934,control,37.84,48.14
u_00935,control,59.55,80.13
u_00936,control,46.54,54.68
u_00937,control,26.73,27.57
u_00938,control,23.85,27.35
u_00939,control,17.49,31.05
u_00940,control,103.49,86.99
u_00941,control,8.4,9.47
u_00942,control,72.27,83.54
u_00943,control,48.47,43.04
u_00944,control,46.37,47.76
u_00945,control,63.46,38.31
u_00946,control,72.77,68.92
u_00947,control,44.27,16.97
u_00948,control,3.21,9.12
u_00949,control,36.5,40.31
u_00950,control,62.22,55.01
u_00951,control,29.69,15.79
u_00952,control,70.66,62.7
u_00953,control,51.31,39.24
u_00954,control,22.36,16.3
u_00955,control,48.5,49.11
u_00956,control,42.48,43.57
u_00957,control,61.94,63.29
u_00958,control,3.16,6.17
u_00959,control,8.27,6.07
u_00960,control,73.9,83.54
u_00961,control,19.62,14.67
u_00962,control,71.7,66.26
u_00963,control,81.67,70.99
u_00964,control,20.3,20.35
u_00965,control,12.88,23.79
u_00966,control,67.62,56.42
u_00967,control,28.89,19.18
u_00968,control,70.32,76.43
u_00969,control,83.94,94.99
u_00970,control,24.6,23.43
u_00971,control,27.26,37.63
u_00972,control,29.15,61.86
u_00973,control,7.44,16.58
u_00974,control,23.57,25.27
u_00975,control,22.63,32.38
u_00976,control,106.53,121.53
u_00977,control,58.23,64.69
u_00978,control,36.98,38.23
u_00979,control,32.58,30.06
u_00980,control,1.0,20.1
u_00981,control,45.73,31.53
u_00982,control,35.95,28.16
u_00983,control,58.49,43.76
u_00984,control,49.86,50.35
u_00985,control,27.89,40.47
u_00986,control,65.02,46.12
u_00987,control,35.12,51.11
u_00988,control,100.86,93.87
u_00989,control,72.77,67.81
u_00990,control,48.49,60.85
u_00991,control,54.29,58.61
u_00992,control,36.52,43.89
u_00993,control,36.41,28.52
u_00994,control,34.95,56.85
u_00995,control,36.92,37.32
u_00996,control,29.64,21.23
u_00997,control,66.43,69.16
u_00998,control,68.77,60.76
u_00999,control,36.52,51.33
u_01000,control,40.74,53.48
u_01001,control,110.94,102.07
u_01002,control,29.37,34.89
u_01003,control,44.68,54.3
u_01004,control,75.0,90.92
u_01005,control,14.78,10.43
u_01006,control,49.75,72.88
u_01007,control,108.55,94.3
u_01008,control,36.01,40.19
u_01009,control,47.77,37.99
u_01010,control,38.14,21.8
u_01011,control,63.2,59.11
u_01012,control,34.59,19.33
u_01013,control,44.84,48.34
u_01014,control,23.9,12.8
u_01015,control,18.19,1.0
u_01016,control,37.3,29.68
u_01017,control,18.91,36.3
u_01018,control,31.27,33.28
u_01019,control,68.77,63.47
u_01020,control,66.08,76.67
u_01021,control,64.08,59.78
u_01022,control,60.47,58.5
u_01023,control,29.37,20.33
u_01024,control,33.88,25.49
u_01025,control,55.0,60.23
u_01026,control,24.32,11.23
u_01027,control,28.62,14.31
u_01028,control,135.96,141.98
u_01029,control,42.97,43.58
u_01030,control,40.25,27.53
u_01031,control,32.08,37.21
u_01032,control,30.16,5.58
u_01033,control,37.97,37.93
u_01034,control,23.75,34.6
u_01035,control,76.25,68.69
u_01036,control,64.28,45.72
u_01037,control,35.05,31.74
u_01038,control,15.61,9.2
u_01039,control,51.27,42.16
u_01040,control,36.7,44.43
u_01041,control,5.07,5.43
u_01042,control,55.56,65.86
u_01043,control,29.69,26.36
u_01044,control,62.59,65.47
u_01045,control,40.26,42.6
u_01046,control,29.11,32.06
u_01047,control,51.98,58.35
u_01048,control,47.03,42.3
u_01049,control,41.84,52.35
u_01050,control,77.19,67.53
u_01051,control,45.85,62.1
u_01052,control,27.21,39.88
u_01053,control,25.15,39.46
u_01054,control,78.97,82.58
u_01055,control,32.22,32.14
u_01056,control,56.16,52.15
u_01057,control,73.23,81.88
u_01058,control,60.64,56.86
u_01059,control,62.16,42.21
u_01060,control,43.15,45.45
u_01061,control,45.07,48.32
u_01062,control,19.5,32.36
u_01063,control,37.73,36.8
u_01064,control,108.88,125.46
u_01065,control,55.18,44.09
u_01066,control,56.31,47.31
u_01067,control,48.19,45.07
u_01068,control,32.11,10.86
u_01069,control,67.1,66.12
u_01070,control,48.9,48.34
u_01071,control,28.79,42.98
u_01072,control,148.39,144.54
u_01073,control,14.74,35.26
u_01074,control,19.66,27.89
u_01075,control,40.31,44.13
u_01076,control,41.74,46.71
u_01077,control,25.74,41.36
u_01078,control,39.91,53.54
u_01079,control,52.01,67.81
u_01080,control,69.5,68.68
u_01081,control,33.23,18.63
u_01082,control,74.54,102.07
u_01083,control,49.44,54.82
u_01084,control,22.64,41.09
u_01085,control,30.34,27.42
u_01086,control,40.22,45.96
u_01087,control,45.75,46.65
u_01088,control,38.32,61.01
u_01089,control,62.72,57.34
u_01090,control,105.77,125.58
u_01091,control,19.09,17.09
u_01092,control,8.85,22.39
u_01093,control,33.36,23.95
u_01094,control,109.5,107.59
u_01095,control,81.74,66.17
u_01096,control,30.8,26.59
u_01097,control,49.19,55.79
u_01098,control,42.86,37.06
u_01099,control,25.23,39.63
u_01100,control,23.75,42.18
u_01101,control,26.03,27.89
u_01102,control,87.64,78.52
u_01103,control,46.55,31.66
u_01104,control,62.72,52.28
u_01105,control,65.86,67.47
u_01106,control,68.44,90.67
u_01107,control,25.19,35.26
u_01108,control,58.6,43.18
u_01109,control,31.76,37.71
u_01110,control,41.65,53.11
u_01111,control,31.94,45.31
u_01112,control,34.3,17.72
u_01113,control,47.0,42.48
u_01114,control,101.71,122.47
u_01115,control,48.72,55.78
u_01116,control,10.34,12.19
u_01117,control,24.95,12.53
u_01118,control,44.77,49.76
u_01119,control,22.32,21.98
u_01120,control,84.94,81.37
u_01121,control,19.75,29.03
u_01122,control,64.81,45.84
u_01123,control,13.88,16.38
u_01124,control,67.12,41.39
u_01125,control,19.7,27.26
u_01126,control,54.18,71.32
u_01127,control,64.08,61.65
u_01128,control,50.39,56.64
u_01129,control,60.17,82.18
u_01130,control,11.22,7.37
u_01131,control,32.01,46.15
u_01132,control,57.21,59.26
u_01133,control,48.7,62.27
u_01134,control,10.7,18.41
u_01135,control,59.11,58.77
u_01136,control,78.59,52.3
u_01137,control,38.36,54.9
u_01138,control,19.48,30.02
u_01139,control,26.81,34.09
u_01140,control,71.97,66.97
u_01141,control,68.87,73.67
u_01142,control,61.99,56.96
u_01143,control,58.15,52.89
u_01144,control,88.29,67.41
u_01145,control,58.41,43.81
u_01146,control,69.75,82.68
u_01147,control,73.63,77.89
u_01148,control,127.12,120.37
u_01149,control,39.74,36.15
u_01150,control,20.56,33.22
u_01151,control,1.0,10.29
u_01152,control,48.31,49.91
u_01153,control,110.6,98.73
u_01154,control,90.7,74.67
u_01155,control,76.9,61.55
u_01156,control,87.78,83.69
u_01157,control,55.75,57.6
u_01158,control,44.06,36.18
u_01159,control,108.75,114.51
u_01160,control,39.6,51.55
u_01161,control,79.24,95.81
u_01162,control,1.0,2.65
u_01163,control,9.64,5.7
u_01164,control,48.97,74.36
u_01165,control,28.34,29.72
u_01166,control,57.77,39.23
u_01167,control,40.3,40.39
u_01168,control,144.71,135.86
u_01169,control,69.25,80.06
u_01170,control,88.36,85.81
u_01171,control,6.89,8.14
u_01172,control,63.84,78.29
u_01173,control,61.02,44.6
u_01174,control,89.78,96.11
u_01175,control,64.34,64.21
u_01176,control,37.51,39.59
u_01177,control,30.16,26.89
u_01178,control,53.62,57.21
u_01179,control,84.19,79.12
u_01180,control,92.55,105.25
u_01181,control,44.67,43.2
u_01182,control,141.76,133.28
u_01183,control,77.32,77.07
u_01184,control,25.75,27.76
u_01185,control,30.4,13.24
u_01186,control,34.18,40.69
u_01187,control,30.6,38.11
u_01188,control,56.21,53.31
u_01189,control,31.06,47.69
u_01190,control,44.63,38.18
u_01191,control,9.64,23.53
u_01192,control,57.89,66.97
u_01193,control,14.71,17.76
u_01194,control,75.5,64.24
u_01195,control,9.82,26.9
u_01196,control,15.28,14.68
u_01197,control,26.12,25.95
u_01198,control,31.03,31.87
u_01199,control,24.61,26.89
u_01200,control,43.18,46.88
u_01201,control,33.95,61.87
u_01202,control,25.31,30.51
u_01203,control,47.27,50.16
u_01204,control,12.25,13.85
u_01205,control,14.74,26.96
u_01206,control,11.33,13.8
u_01207,control,73.93,77.46
u_01208,control,37.57,25.48
u_01209,control,62.39,61.75
u_01210,control,4.12,15.23
u_01211,control,86.19,94.91
u_01212,control,53.45,41.41
u_01213,control,102.73,118.02
u_01214,control,42.99,36.36
u_01215,control,17.4,12.89
u_01216,control,21.42,20.27
u_01217,control,60.22,30.08
u_01218,control,21.75,33.18
u_01219,control,74.67,63.32
u_01220,control,39.5,40.04
u_01221,control,29.46,35.28
u_01222,control,72.61,61.08
u_01223,control,31.21,34.41
u_01224,control,63.7,56.04
u_01225,control,25.65,39.48
u_01226,control,48.49,64.42
u_01227,control,43.52,41.14
u_01228,control,66.65,75.38
u_01229,control,1.0,14.38
u_01230,control,35.06,16.75
u_01231,control,34.13,34.02
u_01232,control,27.78,40.07
u_01233,control,47.76,40.75
u_01234,control,59.9,55.48
u_01235,control,32.93,34.55
u_01236,control,42.14,49.57
u_01237,control,13.19,17.24
u_01238,control,10.55,13.3
u_01239,control,66.84,60.62
u_01240,control,102.78,92.71
u_01241,control,45.34,37.35
u_01242,control,41.9,29.22
u_01243,control,31.81,43.54
u_01244,control,87.54,83.18
u_01245,control,50.79,42.49
u_01246,control,81.31,70.73
u_01247,control,64.11,63.53
u_01248,control,66.58,78.74
u_01249,control,40.85,39.79
u_01250,control,29.95,26.27
u_01251,control,61.45,58.88
u_01252,control,71.7,61.38
u_01253,control,68.25,82.65
u_01254,control,75.96,81.55
u_01255,control,70.35,75.6
u_01256,control,42.64,28.87
u_01257,control,49.79,57.66
u_01258,control,53.41,37.92
u_01259,control,52.36,38.83
u_01260,control,60.17,61.08
u_01261,control,32.72,48.6
u_01262,control,40.83,52.6
u_01263,control,113.06,103.74
u_01264,control,46.65,57.11
u_01265,control,79.84,71.53
u_01266,control,72.31,84.8
u_01267,control,48.25,42.33
u_01268,control,39.15,43.46
u_01269,control,26.47,8.15
u_01270,control,25.61,7.29
u_01271,control,41.38,63.89
u_01272,control,54.29,43.55
u_01273,control,64.05,68.1
u_01274,control,22.76,40.98
u_01275,control,114.05,104.67
u_01276,control,50.72,48.76
u_01277,control,38.7,37.77
u_01278,control,26.17,3.65
u_01279,control,43.91,35.02
u_01280,control,70.84,67.07
u_01281,control,90.94,85.44
u_01282,control,43.75,58.46
u_01283,control,111.08,89.33
u_01284,control,32.13,36.85
u_01285,control,48.9,46.56
u_01286,control,44.49,56.27
u_01287,control,64.94,69.87
u_01288,control,47.89,57.39
u_01289,control,41.92,49.99
u_01290,control,28.79,29.8
u_01291,control,81.51,87.04
u_01292,control,74.45,65.88
u_01293,control,55.81,57.21
u_01294,control,66.17,85.93
u_01295,control,90.07,88.78
u_01296,control,55.97,64.49
u_01297,control,111.11,119.95
u_01298,control,58.24,50.81
u_01299,control,36.72,31.36
u_01300,control,48.68,42.79
u_01301,control,83.41,67.71
u_01302,control,99.32,102.34
u_01303,control,42.96,46.85
u_01304,control,3.06,20.51
u_01305,control,47.99,48.86
u_01306,control,17.22,12.38
u_01307,control,58.84,62.19
u_01308,control,30.88,45.58
u_01309,control,26.85,30.51
u_01310,control,79.41,56.54
u_01311,control,95.41,98.48
u_01312,control,40.37,26.92
u_01313,control,52.99,61.36
u_01314,control,38.06,35.68
u_01315,control,83.9,95.43
u_01316,control,47.53,57.24
u_01317,control,31.57,18.2
u_01318,control,52.1,42.58
u_01319,control,75.89,81.09
u_01320,control,40.67,32.41
u_01321,control,36.55,34.04
u_01322,control,38.94,40.21
u_01323,control,16.39,23.51
u_01324,control,34.05,40.89
u_01325,control,31.29,33.79
u_01326,control,130.36,126.37
u_01327,control,23.28,8.42
u_01328,control,16.76,23.16
u_01329,control,27.08,30.91
u_01330,control,22.71,25.22
u_01331,control,61.52,51.66
u_01332,control,25.57,32.39
u_01333,control,15.22,4.14
u_01334,control,35.49,40.94
u_01335,control,41.92,35.81
u_01336,control,29.3,23.74
u_01337,control,80.7,98.97
u_01338,control,54.04,56.27
u_01339,control,61.96,54.36
u_01340,control,48.71,52.89
u_01341,control,48.54,55.15
u_01342,control,49.12,29.38
u_01343,control,30.58,28.61
u_01344,control,52.68,39.83
u_01345,control,41.93,36.5
u_01346,control,12.81,1.0
u_01347,control,21.5,15.27
u_01348,control,42.77,47.83
u_01349,control,79.07,76.42
u_01350,control,56.11,57.98
u_01351,control,17.53,38.12
u_01352,control,33.51,28.46
u_01353,control,74.41,73.65
u_01354,control,34.03,31.78
u_01355,control,4.21,14.74
u_01356,control,48.1,41.96
u_01357,control,66.64,82.27
u_01358,control,20.61,19.74
u_01359,control,52.27,61.35
u_01360,control,48.95,46.57
u_01361,control,18.88,34.15
u_01362,control,75.13,94.37
u_01363,control,51.54,40.07
u_01364,control,35.36,32.14
u_01365,control,29.21,31.95
u_01366,control,27.65,11.03
u_01367,control,16.51,25.69
u_01368,control,46.95,32.64
u_01369,control,24.15,35.8
u_01370,control,37.37,43.26
u_01371,control,78.77,69.51
u_01372,control,52.82,70.91
u_01373,control,10.61,11.71
u_01374,control,90.57,80.66
u_01375,control,35.21,39.03
u_01376,control,57.24,74.54
u_01377,control,20.93,34.72
u_01378,control,32.9,29.68
u_01379,control,17.53,22.28
u_01380,control,47.0,53.67
u_01381,control,65.44,58.96
u_01382,control,1.0,17.5
u_01383,control,67.02,64.87
u_01384,control,38.12,19.16
u_01385,control,110.79,103.18
u_01386,control,49.01,59.66
u_01387,control,52.22,55.38
u_01388,control,33.51,36.64
u_01389,control,137.72,146.44
u_01390,control,24.42,33.85
u_01391,control,38.08,25.25
u_01392,control,30.84,26.97
u_01393,control,72.34,77.02
u_01394,control,58.95,57.0
u_01395,control,42.59,47.9
u_01396,control,37.66,39.95
u_01397,control,35.55,46.4
u_01398,control,22.21,22.13
u_01399,control,56.54,54.41
u_01400,control,55.84,36.7
u_01401,control,35.87,25.0
u_01402,control,72.45,61.74
u_01403,control,17.26,10.1
u_01404,control,53.84,35.77
u_01405,control,2.17,10.98
u_01406,control,6.81,18.79
u_01407,control,31.67,29.8
u_01408,control,48.47,33.47
u_01409,control,47.99,29.34
u_01410,control,60.85,73.19
u_01411,control,60.96,65.06
u_01412,control,38.11,56.8
u_01413,control,24.93,25.93
u_01414,control,42.68,30.17
u_01415,control,111.01,103.97
u_01416,control,137.07,119.9
u_01417,control,69.02,69.73
u_01418,control,29.31,18.9
u_01419,control,35.97,44.63
u_01420,control,53.81,38.78
u_01421,control,41.7,45.87
u_01422,control,77.97,78.88
u_01423,control,66.08,70.31
u_01424,control,24.64,17.97
u_01425,control,37.58,31.36
u_01426,control,57.89,71.93
u_01427,control,77.23,98.13
u_01428,control,47.67,37.98
u_01429,control,79.49,83.75
u_01430,control,43.71,69.4
u_01431,control,23.56,24.37
u_01432,control,70.68,45.08
u_01433,control,159.53,153.73
u_01434,control,29.21,1.0
u_01435,control,91.74,91.25
u_01436,control,54.22,64.98
u_01437,control,31.27,22.9
u_01438,control,19.08,9.47
u_01439,control,19.51,17.36
u_01440,control,31.72,18.77
u_01441,control,40.57,43.18
u_01442,control,54.16,66.07
u_01443,control,73.15,69.75
u_01444,control,32.64,49.0
u_01445,control,61.7,37.23
u_01446,control,41.57,38.51
u_01447,control,49.33,53.22
u_01448,control,21.58,34.85
u_01449,control,29.86,23.24
u_01450,control,36.92,47.48
u_01451,control,57.17,53.75
u_01452,control,12.82,22.89
u_01453,control,33.69,30.13
u_01454,control,49.92,43.62
u_01455,control,54.0,52.85
u_01456,control,66.08,51.96
u_01457,control,103.21,114.01
u_01458,control,18.2,21.59
u_01459,control,100.15,111.54
u_01460,control,86.34,93.06
u_01461,control,63.09,50.97
u_01462,control,42.91,57.99
u_01463,control,25.73,31.68
u_01464,control,60.37,62.08
u_01465,control,46.98,60.06
u_01466,control,42.18,30.33
u_01467,control,80.88,63.77
u_01468,control,59.21,77.21
u_01469,control,1.0,1.0
u_01470,control,79.09,84.54
u_01471,control,35.03,37.62
u_01472,control,78.3,81.63
u_01473,control,31.8,47.58
u_01474,control,55.16,58.5
u_01475,control,62.09,54.5
u_01476,control,76.56,58.01
u_01477,control,57.19,54.88
u_01478,control,39.05,42.99
u_01479,control,9.11,1.0
u_01480,control,55.44,54.76
u_01481,control,44.27,51.08
u_01482,control,28.21,32.56
u_01483,control,53.37,46.77
u_01484,control,52.94,39.51
u_01485,control,95.69,84.58
u_01486,control,112.8,111.94
u_01487,control,68.05,70.87
u_01488,control,51.62,51.69
u_01489,control,50.52,40.4
u_01490,control,49.15,29.29
u_01491,control,33.9,34.98
u_01492,control,47.55,38.77
u_01493,control,41.98,46.37
u_01494,control,19.29,21.28
u_01495,control,83.37,91.75
u_01496,control,93.79,92.98
u_01497,control,88.24,87.08
u_01498,control,102.22,87.93
u_01499,control,127.42,119.9
u_01500,control,24.93,38.43
u_01501,control,119.62,127.32
u_01502,control,26.18,28.58
u_01503,control,75.06,63.22
u_01504,control,12.83,1.0
u_01505,control,41.94,29.61
u_01506,control,75.35,80.83
u_01507,control,65.71,62.28
u_01508,control,35.43,37.32
u_01509,control,40.48,22.65
u_01510,control,24.47,29.08
u_01511,control,86.86,75.74
u_01512,control,89.21,92.02
u_01513,control,37.71,36.41
u_01514,control,55.38,42.62
u_01515,control,16.3,18.26
u_01516,control,53.96,39.92
u_01517,control,58.85,56.86
u_01518,control,43.47,42.63
u_01519,control,54.68,41.38
u_01520,control,46.53,33.15
u_01521,control,38.37,54.44
u_01522,control,38.72,39.16
u_01523,control,32.24,35.39
u_01524,control,52.86,31.86
u_01525,control,42.47,42.82
u_01526,control,89.5,92.98
u_01527,control,23.81,8.46
u_01528,control,37.16,37.84
u_01529,control,20.46,22.25
u_01530,control,39.31,35.82
u_01531,control,42.93,31.32
u_01532,control,50.23,34.04
u_01533,control,56.78,41.63
u_01534,control,54.25,38.1
u_01535,control,61.31,48.59
u_01536,control,22.92,35.05
u_01537,control,52.9,39.24
u_01538,control,68.19,66.6
u_01539,control,20.57,28.36
u_01540,control,2.51,22.75
u_01541,control,56.56,71.68
u_01542,control,23.68,29.45
u_01543,control,35.44,31.68
u_01544,control,53.81,66.74
u_01545,control,34.67,14.28
u_01546,control,71.46,49.14
u_01547,control,41.21,33.44
u_01548,control,31.29,31.78
u_01549,control,14.22,26.56
u_01550,control,34.24,26.37
u_01551,control,64.4,70.95
u_01552,control,28.68,29.38
u_01553,control,61.35,76.26
u_01554,control,45.84,49.79
u_01555,control,39.09,60.85
u_01556,control,36.81,25.3
u_01557,control,75.0,73.03
u_01558,control,78.25,52.47
u_01559,control,46.55,75.97
u_01560,control,41.65,43.94
u_01561,control,32.53,24.72
u_01562,control,41.28,73.34
u_01563,control,56.51,60.38
u_01564,control,54.85,47.65
u_01565,control,48.72,52.62
u_01566,control,55.01,45.26
u_01567,control,19.97,27.17
u_01568,control,30.28,27.95
u_01569,control,27.01,18.19
u_01570,control,71.59,62.16
u_01571,control,98.65,119.4
u_01572,control,165.14,159.29
u_01573,control,55.97,48.32
u_01574,control,44.79,59.18
u_01575,control,31.08,45.2
u_01576,control,42.11,51.93
u_01577,control,30.61,31.72
u_01578,control,43.2,42.06
u_01579,control,34.78,33.82
u_01580,control,35.61,44.24
u_01581,control,22.43,31.13
u_01582,control,65.15,56.03
u_01583,control,57.02,73.69
u_01584,control,53.79,48.47
u_01585,control,18.84,34.37
u_01586,control,17.39,25.26
u_01587,control,69.87,56.92
u_01588,control,39.18,38.45
u_01589,control,21.19,11.84
u_01590,control,29.55,44.26
u_01591,control,48.85,41.66
u_01592,control,16.4,12.56
u_01593,control,72.24,60.43
u_01594,control,10.11,29.59
u_01595,control,34.75,33.82
u_01596,control,27.99,1.0
u_01597,control,21.92,32.82
u_01598,control,19.08,17.6
u_01599,control,74.21,76.71
u_01600,control,27.57,39.31
u_01601,control,31.43,33.53
u_01602,control,86.72,75.7
u_01603,control,78.75,74.39
u_01604,control,35.33,47.34
u_01605,control,52.69,51.62
u_01606,control,37.21,41.25
u_01607,control,48.78,50.12
u_01608,control,19.95,29.73
u_01609,control,67.89,41.32
u_01610,control,88.54,86.95
u_01611,control,76.69,67.61
u_01612,control,39.25,51.72
u_01613,control,5.61,5.99
u_01614,control,29.14,22.27
u_01615,control,43.06,58.38
u_01616,control,6.26,12.75
u_01617,control,22.31,27.52
u_01618,control,98.91,89.56
u_01619,control,71.78,63.8
u_01620,control,52.36,57.41
u_01621,control,56.97,52.92
u_01622,control,24.89,22.38
u_01623,control,25.94,18.51
u_01624,control,53.75,47.04
u_01625,control,57.02,59.61
u_01626,control,28.44,21.73
u_01627,control,39.35,36.55
u_01628,control,44.75,49.79
u_01629,control,67.24,70.09
u_01630,control,51.55,48.0
u_01631,control,100.55,99.6
u_01632,control,44.48,35.36
u_01633,control,34.56,14.05
u_01634,control,95.81,107.19
u_01635,control,52.84,53.58
u_01636,control,41.09,42.46
u_01637,control,13.87,24.5
u_01638,control,47.64,46.36
u_01639,control,33.31,31.69
u_01640,control,26.83,10.42
u_01641,control,16.58,5.71
u_01642,control,25.48,46.05
u_01643,control,56.74,70.79
u_01644,control,93.67,79.26
u_01645,control,73.82,82.49
u_01646,control,68.91,79.54
u_01647,control,23.33,22.21
u_01648,control,59.38,49.36
u_01649,control,65.47,60.63
u_01650,control,48.12,53.19
u_01651,control,55.69,42.65
u_01652,control,55.3,50.04
u_01653,control,109.2,96.92
u_01654,control,60.92,68.94
u_01655,control,65.38,54.53
u_01656,control,66.05,70.47
u_01657,control,22.91,19.81
u_01658,control,58.77,57.57
u_01659,control,72.26,43.4
u_01660,control,67.1,74.64
u_01661,control,24.39,29.98
u_01662,control,56.22,78.65
u_01663,control,51.37,42.49
u_01664,control,71.21,61.15
u_01665,control,62.11,52.77
u_01666,control,47.48,42.66
u_01667,control,48.3,45.14
u_01668,control,36.42,32.55
u_01669,control,36.78,28.89
u_01670,control,40.14,41.49
u_01671,control,67.25,66.0
u_01672,control,18.74,1.0
u_01673,control,58.99,74.99
u_01674,control,65.04,63.41
u_01675,control,25.46,23.8
u_01676,control,29.64,24.19
u_01677,control,32.76,13.88
u_01678,control,51.38,54.22
u_01679,control,25.87,27.43
u_01680,control,13.17,11.59
u_01681,control,90.94,75.37
u_01682,control,28.76,15.62
u_01683,control,58.15,39.42
u_01684,control,53.16,49.41
u_01685,control,58.55,57.98
u_01686,control,46.62,38.38
u_01687,control,41.05,58.55
u_01688,control,46.04,33.42
u_01689,control,1.0,11.08
u_01690,control,39.12,39.47
u_01691,control,60.17,68.59
u_01692,control,19.02,24.28
u_01693,control,45.78,43.84
u_01694,control,117.53,110.22
u_01695,control,51.17,59.48
u_01696,control,37.98,45.14
u_01697,control,13.38,27.01
u_01698,control,13.44,31.94
u_01699,control,33.77,23.29
u_01700,control,56.83,59.04
u_01701,control,10.6,16.07
u_01702,control,14.43,11.98
u_01703,control,57.33,48.81
u_01704,control,37.27,26.34
u_01705,control,16.97,11.55
u_01706,control,59.42,60.11
u_01707,control,51.99,40.36
u_01708,control,56.39,55.38
u_01709,control,22.94,2.27
u_01710,control,6.06,4.41
u_01711,control,52.56,34.89
u_01712,control,11.52,25.12
u_01713,control,43.0,50.73
u_01714,control,37.55,49.27
u_01715,control,39.34,37.88
u_01716,control,83.27,75.24
u_01717,control,140.63,141.77
u_01718,control,59.09,44.24
u_01719,control,114.9,108.7
u_01720,control,16.24,23.01
u_01721,control,44.57,44.21
u_01722,control,24.91,15.8
u_01723,control,31.6,40.1
u_01724,control,43.79,33.84
u_01725,control,121.79,112.3
u_01726,control,40.39,41.4
u_01727,control,66.95,72.83
u_01728,control,26.87,15.64
u_01729,control,40.71,30.34
u_01730,control,25.78,17.48
u_01731,control,101.07,102.08
u_01732,control,69.77,100.91
u_01733,control,44.26,40.36
u_01734,control,43.35,34.46
u_01735,control,45.85,39.14
u_01736,control,21.62,15.66
u_01737,control,52.1,64.54
u_01738,control,91.43,95.14
u_01739,control,88.14,79.79
u_01740,control,21.88,11.4
u_01741,control,75.55,65.02
u_01742,control,24.45,30.7
u_01743,control,14.56,19.86
u_01744,control,68.25,74.82
u_01745,control,36.49,22.33
u_01746,control,76.75,59.96
u_01747,control,76.55,68.67
u_01748,control,66.41,67.48
u_01749,control,38.37,29.56
u_01750,control,15.12,19.04
u_01751,control,34.35,50.78
u_01752,control,87.62,84.37
u_01753,control,70.34,83.24
u_01754,control,29.9,44.09
u_01755,control,29.6,29.96
u_01756,control,43.5,57.95
u_01757,control,22.86,46.79
u_01758,control,38.91,32.35
u_01759,control,76.33,50.01
u_01760,control,71.18,68.86
u_01761,control,23.31,23.31
u_01762,control,53.92,61.34
u_01763,control,43.36,51.58
u_01764,control,33.79,44.08
u_01765,control,19.73,33.81
u_01766,control,35.4,32.42
u_01767,control,24.6,30.6
u_01768,control,55.47,37.07
u_01769,control,22.55,20.77
u_01770,control,87.81,70.76
u_01771,control,81.67,79.57
u_01772,control,46.99,62.58
u_01773,control,58.49,74.23
u_01774,control,54.97,56.57
u_01775,control,53.39,38.84
u_01776,control,37.85,35.05
u_01777,control,23.19,39.65
u_01778,control,91.66,75.91
u_01779,control,18.74,28.62
u_01780,control,42.33,31.54
u_01781,control,67.66,70.02
u_01782,control,74.37,73.12
u_01783,control,48.03,41.11
u_01784,control,51.11,54.42
u_01785,control,63.25,47.15
u_01786,control,25.42,22.06
u_01787,control,84.91,76.36
u_01788,control,65.52,58.0
u_01789,control,45.63,60.1
u_01790,control,67.3,74.21
u_01791,control,49.0,52.58
u_01792,control,45.77,47.41
u_01793,control,20.57,1.65
u_01794,control,53.77,50.38
u_01795,control,22.66,19.39
u_01796,control,115.24,119.94
u_01797,control,48.11,38.27
u_01798,control,121.13,107.24
u_01799,control,48.56,57.31
u_01800,control,33.9,31.85
u_01801,control,90.24,73.92
u_01802,control,51.2,75.53
u_01803,control,119.05,121.1
u_01804,control,36.08,31.62
u_01805,control,82.86,87.28
u_01806,control,77.07,88.87
u_01807,control,69.25,63.73
u_01808,control,98.54,85.61
u_01809,control,30.07,41.23
u_01810,control,36.83,19.72
u_01811,control,13.89,51.39
u_01812,control,43.92,45.36
u_01813,control,81.64,71.7
u_01814,control,27.15,27.09
u_01815,control,38.9,35.34
u_01816,control,37.2,27.45
u_01817,control,59.14,60.47
u_01818,control,109.32,107.45
u_01819,control,26.48,22.71
u_01820,control,75.04,69.52
u_01821,control,67.53,67.85
u_01822,control,38.09,36.52
u_01823,control,13.08,13.32
u_01824,control,74.13,93.95
u_01825,control,28.77,12.8
u_01826,control,94.62,98.91
u_01827,control,26.29,38.5
u_01828,control,13.89,16.87
u_01829,control,31.07,24.56
u_01830,control,41.41,34.28
u_01831,control,40.05,57.04
u_01832,control,60.61,52.59
u_01833,control,49.62,55.63
u_01834,control,98.26,105.23
u_01835,control,45.34,47.12
u_01836,control,55.83,57.68
u_01837,control,47.18,44.17
u_01838,control,15.59,8.94
u_01839,control,40.52,28.97
u_01840,control,64.18,42.19
u_01841,control,48.81,35.24
u_01842,control,5.54,18.05
u_01843,control,98.24,98.42
u_01844,control,68.04,63.32
u_01845,control,42.67,57.0
u_01846,control,60.12,58.34
u_01847,control,50.46,42.45
u_01848,control,50.36,51.67
u_01849,control,60.22,67.27
u_01850,control,87.05,74.39
u_01851,control,37.36,42.0
u_01852,control,28.55,25.46
u_01853,control,21.44,26.71
u_01854,control,51.02,49.52
u_01855,control,16.7,17.95
u_01856,control,22.71,43.08
u_01857,control,19.67,45.36
u_01858,control,31.48,41.14
u_01859,control,55.78,63.61
u_01860,control,18.46,47.44
u_01861,control,59.34,51.71
